HGNC/MGI cnn_1 cnn_2 cnn_3 cnn_4 cnn_5 cnn_6 cnn_7 cnn_8 cnn_9 cnn_10 cnn_11 cnn_12 cnn_13 cnn_14 cnn_15 cnn_16 cnn_17 cnn_18 cnn_19 cnn_20 cnn_21 cnn_22 cnn_23 cnn_24 cnn_25 cnn_26 cnn_27 cnn_28 cnn_29 cnn_30 cnn_31 cnn_32 cnn_33 cnn_34 cnn_35 cnn_36 cnn_37 cnn_38 cnn_39 cnn_40 cnn_41 cnn_42 cnn_43 cnn_44 cnn_45 cnn_46 cnn_47 cnn_48 cnn_49 cnn_50 cnn_51 cnn_52 cnn_53 cnn_54 cnn_55 cnn_56 cnn_57 cnn_58 cnn_59 cnn_60 cnn_61 cnn_62 cnn_63 cnn_64 cnn_65 cnn_66 cnn_67 cnn_68 cnn_69 cnn_70 cnn_71 cnn_72 cnn_73 cnn_74 cnn_75 cnn_76 cnn_77 cnn_78 cnn_79 cnn_80 cnn_81 cnn_82 cnn_83 cnn_84 cnn_85 cnn_86 cnn_87 cnn_88 cnn_89 cnn_90 cnn_91 cnn_92 cnn_93 cnn_94 cnn_95 cnn_96 cnn_97 cnn_98 cnn_99 cnn_100 cnn_101 cnn_102 cnn_103 cnn_104 cnn_105 cnn_106 cnn_107 cnn_108 cnn_109 cnn_110 cnn_111 cnn_112 cnn_113 cnn_114 cnn_115 cnn_116 cnn_117 cnn_118 cnn_119 cnn_120 cnn_121 cnn_122 cnn_123 cnn_124 cnn_125 cnn_126 cnn_127 cnn_128 cnn_129 cnn_130 cnn_131 cnn_132 cnn_133 cnn_134 cnn_135 cnn_136 cnn_137 cnn_138 cnn_139 cnn_140 cnn_141 cnn_142 cnn_143 cnn_144 cnn_145 cnn_146 cnn_147 cnn_148 cnn_149 cnn_150 cnn_151 cnn_152 cnn_153 cnn_154 cnn_155 cnn_156 cnn_157 cnn_158 cnn_159 cnn_160 cnn_161 cnn_162 cnn_163 cnn_164 cnn_165 cnn_166 cnn_167 cnn_168 cnn_169 cnn_170 cnn_171 cnn_172 cnn_173 cnn_174 cnn_175 cnn_176 cnn_177 cnn_178 cnn_179 cnn_180 cnn_181 cnn_182 cnn_183 cnn_184 cnn_185 cnn_186 cnn_187 cnn_188 cnn_189 cnn_190 cnn_191 cnn_192 cnn_193 cnn_194 cnn_195 cnn_196 cnn_197 cnn_198 cnn_199 cnn_200 cnn_201 cnn_202 cnn_203 cnn_204 cnn_205 cnn_206 cnn_207 cnn_208 cnn_209 cnn_210 cnn_211 cnn_212 cnn_213 cnn_214 cnn_215 cnn_216
CHEK1 0.3742 1.4025 0.7227 0.5128 3.8626 3.278 -2.3101 -1.5572 -0.2722 3.5776 5.9038 3.6525 2.9004 2.3653 1.5486 1.1544 2.7235 3.8894 -1.2402 2.7378 3.2248 -0.0622 3.5441 2.8303 1.3563 2.9469 4.3868 -2.9512 -2.2105 2.8783 0.4295 0.796 1.3826 -0.118 -1.0025 -0.7991 -2.2421 -3.4974 -0.8623 -4.1559 -3.0483 2.713 -5.3444 -3.4263 -1.2322 -1.2158 -1.1756 -1.745 -0.077 -2.7067 -1.3103 -2.9871 -0.8198 -1.4389 -1.0373 -0.5564 -0.2774 0.8503 1.858 0.4642 -0.2328 -0.3248 0.1313 0.5436 -0.377 0.6528 2.0075 -0.6063 -1.0955 3.6614 0.0646 -1.478 -0.568 -0.0332 0.0617 2.7295 2.6603 1.6207 0.6497 -0.322 -3.2068 -1.6631 0.082 0.2035 -2.1936 -0.051 0.1149 -0.948 -1.8204 -0.3903 0.109 -0.2294 -0.3274 -0.9608 -0.1535 -0.966 -1.4261 -2.5398 -0.3962 -0.3563 -1.3111 0.6083 0.5711 -1.1784 -1.9905 0.5811 -3.4364 0.3777 -1.1502 0.12 -2.3829 2.6747 -1.1538 -1.1729 1.0033 -0.404 -0.236 -0.9027 0.0542 -2.1557 2.0359 1.3096 -1.3175 1.8295 0.2859 2.2249 -1.6622 -1.2203 -0.6195 0.8578 -1.4287 -0.5072 2.6725 1.4559 0.514 1.6147 -0.2424 0.6999 -1.3017 0.496 -2.6101 2.1735 1.7453 -0.6055 -1.554 -1.5236 0.526 -0.6123 1.6552 -1.109 -1.4483 0.0588 -2.9628 3.3865 2.0602 0.0317 -0.0417 2.1896 -0.3518 1.5169 3.5694 1.3479 0.4435 -0.1383 -1.3552 3.3242 4.1079 6.4723 2.638 3.0212 0.4477 -0.6896 1.6075 0.4347 1.1792 1.2064 2.5376 -0.6289 -2.0994 0.2922 -0.0622 -0.0756 -0.842 2.5921 2.2488 -3.278 2.715 2.2118 -0.122 -0.185 -0.572 -0.7716 0.1973 -0.8589 -1.0792 0.9504 1.028 0.9063 2.3107 1.6524 -1.1254 2.5691 0.0089 -0.0051 -3.8042 -4.2922 -0.7749 -0.5709 1.8712 -0.314 2.5179 0.1107 -0.7723 -1.5158 -1.5344 -0.8942
CHEK2 -0.0691 0.1758 0.6197 -0.2039 -0.0983 2.2246 -0.3799 0.3566 1.7969 2.0781 1.4694 -0.8159 1.466 -1.1568 2.9597 1.8955 -0.7674 2.2649 0.0046 2.5237 1.3778 -0.673 -0.4048 1.445 0.8191 1.6495 3.1281 -1.4568 -0.0466 -0.414 -1.6703 -0.2596 -1.0228 -1.637 -0.8676 -1.598 -1.7352 -0.9589 0.3851 -2.3233 -1.0168 -0.574 -4.1184 -2.7282 -2.0739 -1.7753 -0.7198 -3.4295 -2.1259 -1.4926 0.016 -3.5077 -0.8368 -1.7163 -2.5406 -1.569 -1.6152 -1.855 -2.3898 -0.3616 -0.2216 -0.8272 -0.3104 -1.8049 -2.863 -0.5173 -1.4179 -4.2397 -2.1865 1.2545 -2.5809 -1.5068 -2.2401 0.4007 1.2904 0.3835 0.1156 0.3787 1.1278 -1.0912 -1.0564 -0.1805 -0.3057 -0.0039 -0.2389 0.4182 -0.0264 -0.212 -1.8358 -1.5108 1.4436 -1.5409 -0.2661 -0.4974 0.7857 1.1838 -1.0449 -3.2864 -0.2123 1.812 0.3679 2.2317 1.4857 -0.327 1.9588 1.6698 -1.7719 0.3288 1.3307 1.4494 -0.1674 0.5774 -0.2696 -1.7017 0.1024 -0.1256 -1.1904 1.7636 3.5294 0.7763 4.4001 4.9731 1.475 1.3413 0.4018 -0.0554 1.5171 2.2126 1.7951 2.0695 1.4621 2.0099 1.7151 1.8308 1.8431 -1.2971 -1.7824 -0.8551 0.6658 0.1407 -2.1442 -0.5743 0.2602 -0.796 -1.2404 -1.3236 -0.3321 -0.1815 -0.5488 -3.6351 0.3066 -0.1106 -2.1379 1.3893 -0.3211 1.6887 1.9181 2.331 0.348 2.0118 2.7433 0.9965 0.6095 0.0588 1.1567 1.4357 1.3259 1.0846 1.6998 1.9321 1.7057 0.8323 2.5507 1.0253 0.1943 1.8088 1.0802 0.7012 1.4161 0.9124 -0.5445 -0.7149 -1.5952 0.9648 -1.8895 -2.8347 -0.0295 -0.7273 -1.0448 3.2358 2.4892 1.1758 1.7532 1.7027 0.2234 1.0734 0.6998 0.0329 6.0863 2.7401 3.9841 2.4877 0.1551 0.1398 0.0313 1.0998 1.2064 3.7465 4.4288 0.3727 4.4007 2.4777 -0.8538 1.1366 1.2865 0.1602
CLK1 1.2634 0.5835 1.4207 -1.466 3.0668 2.6419 -3.1489 0.2756 0.9408 2.1693 3.6328 2.8021 2.8563 3.5641 4.2723 -1.8457 3.1292 2.4343 -3.8233 -2.4513 1.8611 -3.0802 -0.2004 3.6612 -0.7208 2.5135 3.4609 -1.6679 2.4221 2.9564 -1.4831 -1.3595 2.0752 1.8896 1.4984 -0.6928 -1.9869 1.9044 1.7572 0.082 6.2049 5.8589 2.3408 4.1817 7.0658 -0.9888 1.2938 0.7434 5.3807 8.2391 4.0309 5.2476 7.7588 4.4798 -0.8985 0.3834 2.7868 0.974 5.5836 4.0476 1.9189 4.3539 2.5204 -0.0613 4.2901 2.6972 2.8545 5.0117 4.1956 5.777 4.9842 1.2291 -0.6772 1.2339 1.4709 0.7281 3.2868 4.1382 0.3291 3.3982 1.2097 -1.8408 -2.6988 -1.2926 -2.7548 -2.3518 -5.097 -1.7086 -1.3071 -1.9291 0.1294 -1.5573 -1.4321 -1.671 -4.1734 -4.5713 2.6672 2.4692 1.8155 0.8845 -2.4439 -2.2927 -1.4654 -6.9602 -8.3809 2.4369 -2.3371 -3.8411 -1.3402 -0.2072 0.2 -1.8936 -3.7457 -3.4968 -0.4035 -4.3021 -0.9175 0.1784 0.5829 -0.7305 -0.0444 -3.7573 -4.1977 1.4024 -2.0165 -3.0443 -1.2119 0.8781 1.0427 -5.9418 -3.7702 -2.2141 -0.8462 -1.0449 -3.7616 1.0881 -3.5648 -1.1206 0.7553 -2.253 0.5981 -0.1746 2.66 0.7751 -5.2415 -7.1702 -0.6723 -6.281 -7.1905 0.9274 -1.4541 -1.1291 1.3997 -1.2656 -0.8348 -0.4975 -2.9863 -5.9653 -0.7901 2.5891 4.9726 1.0739 -3.9085 -5.2741 -4.5002 -0.744 -3.2494 0.2771 0.7361 1.7494 4.9671 -4.8426 -5.2212 -5.2353 -4.8307 -2.8522 -2.8604 -3.5673 -2.2898 -0.6754 -0.027 -0.8307 -0.9489 0.7245 2.8307 3.851 4.5046 5.7575 2.4818 0.9387 -0.1623 0.0392 -3.9362 -0.9255 -0.7953 -3.0211 -0.0729 -0.4118 2.7523 4.4922 1.5334 0.0534 -0.3713 1.2389 -4.1521 -3.2553 -0.2981 -0.6467 0.1194 0.6686 -3.2242 -4.8177 -1.6756 -5.4799 -7.8809 -2.728
CSNK1D 5.8988 5.8234 3.0389 3.9252 3.7041 3.3038 1.2228 2.7554 1.4819 5.3991 7.802 4.6363 5.96 7.3372 6.0475 4.0248 5.3857 4.1396 1.2608 3.0134 3.0728 2.4682 3.0333 2.693 1.7166 3.444 3.7017 0.3874 1.3381 1.5627 -1.2178 2.9225 -0.3794 -0.5656 0.0464 -2.1048 -1.1343 0.8818 0.4728 -1.4216 -0.6476 -1.2647 -1.7369 0.1369 -1.0207 -1.6473 -0.6503 -1.6617 -1.3859 -1.4349 -0.8024 -1.4471 -0.3275 -1.5474 -0.4785 -0.0365 -0.9721 -0.0882 -1.0978 -1.0146 0.6673 -0.4647 0.1456 -0.2858 0.1738 -0.5296 0.1945 -0.1276 -0.4792 0.964 0.2206 -1.6261 -2.1259 -1.9598 -1.3142 -1.984 -2.0773 -1.2344 0.3313 -1.1812 -1.6679 -0.0826 1.7934 2.67 -1.1988 -3.0172 0.2099 0.2327 0.0056 1.0712 1.1108 0.3431 2.3244 -1.186 -1.6577 1.7053 -0.2268 -1.5965 1.1042 1.3549 0.7153 1.807 -1.0231 -0.0262 0.565 -0.522 -0.7168 -0.0601 0.9615 1.8105 2.0572 0.9518 2.4635 2.0103 1.1996 1.8891 1.4023 3.9203 2.8427 3.0801 3.144 4.0326 2.882 2.256 1.4027 1.6534 2.5502 2.807 2.0676 1.9589 3.0092 1.6984 1.6981 1.2471 1.0698 1.7254 4.0378 3.8412 2.7721 5.3368 4.6789 0.4886 3.0721 2.3535 3.111 4.9099 2.8824 2.3016 5.081 5.5646 2.0902 3.22 3.6392 1.6226 2.289 0.9371 2.7709 3.2236 3.0445 1.9317 2.4888 2.005 -1.9456 -2.0373 -2.9975 -3.438 -4.1358 -4.0141 -2.7038 -2.5149 -1.1014 -3.0615 -2.488 -3.4818 -3.0142 -2.4045 -3.176 0.2262 -0.683 -1.0488 0.2453 0.0077 -0.6193 -0.4146 0.468 0.7495 0.9955 0.4681 -0.4686 0.2054 -0.1359 -0.7643 -1.3781 0.0717 0.4038 1.088 2.4242 0.7159 1.099 2.2936 0.0869 -0.0206 -1.0111 -1.8275 -0.7926 -0.0537 0.0493 0.6866 0.4054 -1.6958 -1.8334 -1.2347 -1.4686 -1.8033 -1.6252 -1.3721
CSNK2A1 -0.7586 1.1634 -0.4113 0.8963 4.8505 3.1253 -2.293 -0.7282 0.5936 0.9155 3.6736 -0.0682 1.7829 4.4602 0.6843 0.7802 3.1601 1.1931 1.3732 2.359 1.6486 0.7841 2.3802 -0.4413 1.6518 5.0175 3.5791 1.1393 -0.0311 3.3856 2.9152 1.5964 0.026 2.3111 0.2514 -0.4623 2.838 0.8522 1.5256 1.4079 -0.3946 1.9181 2.071 0.9882 0.4655 0.6417 1.228 2.2296 1.1937 1.0527 2.831 1.4392 1.3757 2.6855 -1.4627 -0.2729 -0.0258 -0.6796 0.2121 -1.4003 -1.0453 -0.2758 -0.4325 0.1684 -0.628 -1.7396 -1.1191 -1.5398 -1.505 -1.6705 -1.9248 -4.2733 -0.3874 -0.5559 -1.6686 0.5196 0.1755 -2.3654 0.3487 1.4018 -1.9397 -0.9808 -0.0407 0.025 -0.5925 -2.3831 -1.4566 -0.2945 -2.5806 -1.1665 -1.0547 -1.3674 -2.6853 -3.9457 -4.2168 -3.5735 -0.9534 -3.4724 -1.6318 0.1063 -0.5439 0.0115 -2.6397 -3.3498 -3.403 -2.1015 -2.4873 -0.1219 1.1259 0.9753 -0.3007 0.5803 -2.6384 -1.611 2.0192 1.3319 -0.177 -2.3019 -2.5041 -2.2876 -1.228 -1.4295 -2.5355 -1.1631 -1.2197 0.1925 0.7037 0.4463 -0.1781 0.5343 -1.4812 -1.9656 1.9115 1.697 0.1689 -1.7831 -2.7307 -2.302 -0.7117 -1.4617 -1.3183 -0.0309 -1.2164 -1.8437 -2.0475 -2.658 0.9642 -0.9628 0.8401 1.0434 -0.0691 0.1695 -2.2799 -0.0712 0.0315 -1.1341 -0.0147 -1.2247 -0.9562 0.7618 -0.73 -1.5087 0.1685 0.2628 1.1322 0.1895 0.9827 2.1257 2.7954 1.5618 -0.6898 -0.9831 0.1065 -1.5748 -0.8392 0.0629 1.4495 0.4644 -1.0238 -0.8337 0.7196 0.6033 0.4012 1.386 1.8326 0.89 0.8701 1.5494 1.6609 -1.3118 -2.0558 -1.081 0.7059 0.9037 -1.5772 -0.8064 -0.9968 -0.7647 0.8263 -2.168 -3.8811 -0.4067 -4.8181 -4.0693 -0.4883 0.1254 1.0681 -0.3648 -1.7346 -1.0677 -0.7407 -0.9404 -0.9471 -0.5561 -1.0926 -0.6344
CSNK2A2 -1.8115 -0.1351 -0.3762 0.3243 4.9742 6.7489 -3.6635 -2.8958 0.0521 1.8117 6.4818 1.7723 1.9533 5.3773 2.2378 0.8141 3.9134 2.1385 0.6605 2.2876 3.5725 0.1364 2.4318 0.8474 2.0041 5.7584 3.8414 0.0432 -2.4162 5.2031 3.6577 3.2645 0.41 2.136 -0.7324 -1.0828 2.7694 -0.4252 1.7787 1.3912 0.0497 4.1397 1.5963 0.4644 1.0538 1.1478 1.9849 1.9113 1.3329 0.3467 2.3336 0.9851 0.4879 1.3422 -2.311 -1.424 0.6541 -0.7635 0.7509 -1.164 -2.0755 -1.7821 -1.7888 0.7082 0.5956 -2.0067 -1.13 -1.0055 -1.362 -1.1349 -0.7418 -4.7481 0.1251 0.4472 -1.8809 1.4105 2.7826 -1.5437 0.2374 1.4931 -4.5421 -2.1823 -0.8611 0.0895 -0.7291 -2.0162 -0.6834 -1.049 -4.3194 -0.7048 -1.9462 -2.2852 -3.5136 -4.7757 -3.6368 -2.9349 -2.1803 -5.7652 -1.8354 -1.2498 -2.1624 -0.7071 -2.9761 -2.9747 -4.8394 -2.6381 -4.3347 0.1308 0.3884 -0.9957 -1.8781 1.0785 -4.0027 -3.5162 1.825 0.8813 -0.481 -2.5535 -3.8343 -3.7813 -0.6219 -1.1094 -3.3642 -1.9878 -3.0667 -0.3764 -0.777 -2.8162 -2.5321 -0.2986 -5.5726 -5.1723 1.6468 1.3221 0.6641 -1.1974 -1.5435 -3.1214 -1.9748 -3.8162 -2.3154 0.6233 0.0575 -2.2817 -4.0743 -5.1871 0.6939 -1.9125 0.3301 0.6862 -2.0419 -3.5411 -4.6761 0.8729 2.2345 -1.9489 -0.8829 -2.1652 -0.9149 -0.7036 -2.9631 -3.1585 0.549 0.3314 -0.5653 0.1862 1.7593 4.028 3.6545 2.4634 0.004 -0.938 1.4846 -0.7398 -1.5917 -0.3925 2.5901 0.5038 -1.7608 -1.0879 0.2482 -0.5139 0.5117 1.3292 2.0847 0.5969 1.152 1.7342 1.6133 -2.4706 -4.0759 -1.6634 0.99 1.3334 -1.1712 0.472 1.316 0.227 0.1726 -3.071 -5.6981 -0.041 -5.5955 -3.4263 -1.2311 -2.2033 1.2874 -1.1836 -2.9208 -0.6047 -0.6972 -0.7551 -0.3676 -1.2019 -1.6724 0.2919
CAMK2A 2.6137 2.7161 1.7276 1.6524 2.6658 0.711 -0.277 2.2431 -0.0453 4.4852 5.9001 2.9673 2.7431 1.2424 0.6883 0.1809 3.7082 2.0197 2.6557 3.3522 3.1081 1.586 0.7405 -0.0952 0.5815 0.8485 -0.345 0.1887 2.4586 0.7087 0.2396 -0.1097 0.2481 0.1964 0.4711 0.2658 0.0301 0.6488 0.4805 0.5713 -1.3019 1.5735 -0.5448 -0.1668 -0.9167 0.9735 0.9057 -0.3654 1.9301 0.8998 0.4354 1.1365 2.4906 -0.8878 -1.777 -2.5487 -2.7778 -2.1751 -1.8277 -5.2239 -1.9332 -3.4992 -3.0369 -1.1883 -1.6667 -2.1519 -1.9496 -2.5688 -3.5486 -1.6048 -1.7087 -3.2647 -1.3801 -3.2696 -2.0084 -0.1283 -2.2875 -1.702 0.1401 -1.2463 -3.2998 1.0789 3.5725 3.8001 -2.1718 -0.1865 0.7411 -1.4146 0.8235 3.0073 1.2249 3.5789 2.6827 -2.7557 0.6396 -1.1699 -2.4234 2.2992 0.4494 1.0609 1.8885 1.882 -0.7471 2.6519 0.3383 -1.293 3.0936 2.1686 0.6589 0.2454 2.1434 1.732 -1.0116 1.589 0.9131 1.0713 3.118 0.9225 0.2165 0.9874 0.1807 -0.4211 1.8666 0.7062 0.3768 0.7184 0.4753 0.0939 1.0786 -1.1258 -0.8011 1.9136 0.7095 1.5584 1.0525 0.0706 -0.5887 -1.1633 -2.8215 0.2074 -3.8024 0.9597 -1.8634 -1.9423 -0.5468 -1.1117 -1.7058 -2.074 1.3207 -3.0994 0.5931 -2.1038 -1.9428 1.2282 0.1935 -1.1068 -0.561 0.3618 -0.3976 0.1288 -0.2075 -0.3674 0.7792 0.7866 -1.3159 3.4214 1.7404 5.2117 -0.2043 0.4711 0.9767 0.2027 0.9914 0.8089 2.1855 0.7129 4.2643 -0.0576 2.0431 3.2958 0.2792 0.4866 1.6817 0.9307 0.8519 2.2536 -0.2115 0.3884 1.1158 -0.9854 -1.5124 -2.4863 0.2806 -0.8074 -1.6393 3.2722 2.6729 1.097 -0.6117 -1.0416 -1.7225 1.2563 -1.1365 1.4918 1.2801 -2.0223 -0.0183 -0.0977 -0.492 0.3339 2.5239 -0.3853 2.048 1.0432 -1.5612 -0.0334
DAPK1 2.2519 4.4674 3.8829 1.7787 4.8212 5.3019 -0.9804 -0.0227 3.7493 0.7633 4.7127 3.4179 2.457 5.2594 3.4269 -0.7003 1.9975 3.8383 0.8796 3.1128 3.3996 1.9984 3.6768 2.7042 1.5587 2.9941 2.2906 -2.4806 -2.7184 0.7222 -3.8858 -3.332 1.5093 -4.2882 -5.1432 0.1119 -3.3774 -4.2341 -4.2349 -3.4408 -4.9041 -2.5799 -5.9036 -7.4509 -3.7897 -1.5921 -1.6285 -2.4373 -2.3198 -4.8262 -3.0618 -2.385 -2.7812 -1.7297 -1.1396 -2.1536 -0.2698 -0.8535 -3.4667 -4.2835 0.6857 -1.4297 -3.0184 -2.3335 -3.6968 -4.0701 -2.6201 -7.397 -7.2919 -0.1368 -3.2902 -6.2447 -2.0636 -2.5324 -2.1528 -2.8237 -4.4937 -3.6903 -1.3728 -3.3547 -6.6556 2.4699 4.7196 3.9585 1.2193 3.9848 0.4223 0.6887 2.8256 3.4603 3.6254 5.2177 6.1672 2.4618 5.1414 2.8732 0.4871 0.5679 2.5184 1.9314 1.9275 3.4373 0.7933 4.1603 4.2991 -0.0954 -0.0017 2.6377 -0.54 -0.8906 -1.163 -0.272 -0.7088 -2.3878 -0.1284 -1.1468 0.3779 -1.07 -0.6156 -0.5328 -2.952 -0.3698 -0.3727 -1.5152 -3.0218 -1.7785 -0.2902 -1.0388 -0.5534 -2.1635 -2.9836 -0.3755 -0.5829 -1.3042 0.2119 -0.3781 -1.2925 0.0517 -0.0478 -1.9498 0.7953 1.0023 -0.164 -1.911 1.601 1.6917 0.8895 2.1508 2.4753 1.0253 3.136 3.4863 -1.2215 2.4397 3.1626 -0.2624 2.4594 3.4389 2.539 2.2674 3.328 1.9175 -0.6864 0.5044 -2.203 0.2148 1.5602 0.709 -1.4639 -2.059 -0.593 -0.8946 -1.4021 -1.9639 0.8758 -0.5401 0.2273 0.7932 0.1118 -0.561 -0.601 -1.4136 -1.2603 -0.9543 -2.4549 -2.1774 0.3271 -0.6755 -1.9079 0.3999 -3.5247 -4.2276 -1.215 -4.5263 -5.1803 -1.0155 -3.6609 -2.2373 -0.7714 -4.1132 -4.7051 -2.012 -5.5529 -5.4288 -4.1892 -8.3143 -5.5763 -0.6889 -1.5311 -2.0543 -2.3461 -4.2729 -3.4624 -3.1515 -4.5997 -2.644
DDR1 1.4218 6.6482 3.7646 1.475 -0.6583 -0.5049 3.0934 -1.5246 0.0141 -1.2392 2.9096 1.0282 0.9918 -0.5308 1.3435 3.1059 0.9902 1.0066 0.066 2.0306 1.0806 0.6416 2.0438 1.5194 4.348 3.1062 0.6991 5.7639 0.8413 2.4301 5.1833 5.4723 4.1798 1.8666 1.0792 1.0832 4.1064 0.0888 4.2487 3.763 1.1931 2.7564 0.3816 -1.6056 0.1236 4.5324 2.5113 4.1094 3.1293 3.7376 5.0931 0.9139 0.4024 2.5623 1.5477 3.8485 3.6343 2.359 4.5937 2.8021 3.549 5.7899 1.1908 2.1467 1.4097 2.9091 2.8123 4.3693 1.2208 0.2992 4.7526 2.2637 1.8659 0.2161 0.4127 0.6606 2.9617 2.2438 0.2077 3.3473 0.1592 -0.7056 -2.9922 -2.1346 0.1011 -0.7173 -1.9896 0.9779 -2.8593 -0.77 -1.3255 -1.7981 -4.9015 0.6911 -0.042 -1.9823 0.5407 -2.2188 -0.754 -0.6441 -3.4738 -4.7099 -0.7055 -2.4301 -2.8913 -0.6429 -2.9559 -2.2978 2.8977 0.1032 -1.5959 3.6779 -1.3676 -0.6283 1.4758 1.4188 1.2618 0.046 -2.0394 -2.5209 1.2952 -2.9747 1.0514 0.971 0.8328 1.4358 -0.243 -0.3276 0.2411 1.8682 0.8046 -0.7355 1.6199 1.9225 0.0353 -1.4597 -3.1223 -3.1913 1.9359 3.4339 0.7306 -0.4887 1.6219 1.6228 -2.1988 -3.0744 -2.2852 -0.019 4.5778 -1.2686 -0.8878 4.9867 2.5255 -0.9808 -1.852 -2.0076 1.4643 2.6105 -1.6833 -0.7599 3.3521 -0.0462 -0.3792 -1.0073 1.9233 1.4895 1.4268 -0.252 1.0687 0.2771 0.1325 -0.001 -0.2204 1.3211 -1.8693 0.5291 -0.1208 1.2544 1.495 0.4213 -0.965 0.9218 -0.4081 -0.1191 1.4144 0.5494 1.626 3.4951 1.0382 -1.1081 -1.6407 -2.3137 -3.2375 -5.2027 -0.8931 -2.93 -4.3137 1.5977 -3.5001 -4.596 -2.9604 -3.0946 -5.674 -2.1813 -2.5215 -3.2436 -1.5152 -1.0213 -2.1578 -1.2012 -0.8922 -4.6327 -1.3998 -1.2713 -0.3715 1.481
DYRK1A 1.6691 0.462 0.4441 0.9423 1.6581 0.0226 -2.2993 1.2481 1.9419 3.0887 3.6429 -0.4369 3.9241 2.4447 -0.569 1.6421 0.8429 2.0469 0.7305 1.7484 2.9471 1.9449 0.1184 1.0364 1.0159 1.309 0.9616 -0.7291 3.223 5.529 -0.1343 3.6273 2.1704 2.3481 1.0665 -0.0139 0.216 0.0957 3.6408 3.405 1.7877 5.401 0.8869 4.6634 4.1702 -0.6172 3.5218 3.7696 2.5112 6.9325 4.5078 1.0902 6.226 3.7681 -1.0659 -0.3054 -0.4242 -0.0056 1.2269 -1.8533 1.7489 2.1969 0.0533 0.405 -1.5042 -0.4711 3.4982 1.4422 0.8721 2.2099 3.2654 -0.8645 -0.9428 -1.7301 -2.0393 2.6652 1.1942 0.9688 2.9331 4.6751 -0.6075 -1.9491 -0.7452 -0.4639 -3.292 -1.3917 -1.3022 0.4749 -2.9931 0.4764 -1.5357 -2.5938 -1.1935 -4.739 -6.0942 -2.5095 -3.5089 -4.5244 -0.3264 0.0532 -1.9058 -0.2603 -0.7736 -0.7471 0.6518 -0.4718 -4.3367 0.752 0.17 0.3734 0.1843 2.6487 -1.176 -0.656 1.0891 2.6283 2.2808 -2.3256 1.1255 0.1099 0.3468 -1.5266 -0.1844 0.8033 0.7619 -2.1207 -0.7759 0.566 1.0974 1.8364 -0.7066 1.3889 2.6738 2.4258 2.7057 -0.9179 -4.8257 -0.8177 -2.2989 -0.4764 -3.9027 1.3915 -3.1128 -3.4308 -2.1398 -6.5742 0.0011 -2.3208 0.3036 -1.3726 3.3118 2.6055 1.3704 0.1969 -2.8851 -1.6983 -0.3095 -1.1638 -2.4973 1.7832 -1.3021 -1.4952 -1.6807 0.6404 -0.4477 2.4936 2.4063 3.1621 3.8854 3.8236 1.7663 -0.4403 1.7527 -0.2623 2.1346 1.5886 0.6088 2.1507 1.8913 1.7786 0.251 2.1117 1.1051 3.148 3.4039 1.5484 3.5512 4.067 0.4946 1.8197 2.6311 1.0079 -0.3512 2.1248 -0.9655 -0.4764 1.4792 2.275 3.4397 2.0796 1.4234 2.4398 -2.5145 -1.9339 -1.676 -1.591 -0.6738 0.7659 2.7804 0.6669 1.0323 0.2763 -0.9375 -1.3714 0.3096 -0.8133
